Id,Predicted
1,4645
2,5408
3,5462
4,4892
5,9042
6,4854
7,5096
8,12321
9,4060
10,6156
11,4714
12,1667
13,4096
14,4632
15,4557
16,4984
17,1552
18,4898
19,4620
20,6111
21,5517
22,1693
23,7751
24,9476
25,8625
26,5042
27,4278
28,8249
29,5283
30,5646
31,-299
32,4389
33,5512
34,5253
35,6858
36,145
37,5204
38,1864
39,5858
40,8420
41,4138
42,4475
43,12893
44,5095
45,5857
46,5648
47,3761
48,5020
49,5855
50,8845
51,3099
52,2524
53,3518
54,3945
55,5063
56,6443
57,6454
58,5293
59,6560
60,5288
61,4427
62,5613
63,4541
64,5053
65,4430
66,3405
67,4476
68,5305
69,1670
70,3152
71,4587
72,4166
73,6133
74,5072
75,4901
76,10347
77,4759
78,3753
79,14556
80,5164
81,2836
82,4411
83,4829
84,5202
85,4534
86,6165
87,9093
88,5344
89,5443
90,3972
91,8456
92,5636
93,6126
94,824
95,3858
96,3312
97,9611
98,3509
99,7097
100,5647
101,3341
102,5437
103,4926
104,6593
105,6706
106,2585
107,-1472
108,4712
109,5372
110,5433
111,4317
112,5051
113,6593
114,3809
115,5216
116,3851
117,7553
118,6580
119,4360
120,6059
121,4843
122,6182
123,8923
124,5816
125,6043
126,4832
127,6679
128,4428
129,2952
130,5620
131,3226
132,6328
133,3811
134,5533
135,5701
136,4807
137,5723
138,5369
139,3453
140,6334
141,4026
142,5170
143,5085
144,6366
145,5281
146,10822
147,6379
148,3988
149,4736
150,4511
151,5251
152,4414
153,7003
154,5159
155,5948
156,4666
157,6309
158,3153
159,3304
160,4276
161,5380
162,7988
163,4344
164,6078
165,6419
166,5109
167,4919
168,5178
169,5762
170,4838
171,4961
172,4951
173,5778
174,4834
175,5183
176,5059
177,5846
178,5166
179,4515
180,5440
181,4011
182,4928
183,5606
184,5592
185,5877
186,4180
187,4103
188,4893
189,5050
190,5697
191,5384
192,4493
193,5729
194,4710
195,-365
196,5947
197,3629
198,6110
199,5036
200,5329
201,3184
202,8797
203,4958
204,9580
205,3767
206,4894
207,5098
208,4082
209,8881
210,4523
211,3943
212,5059
213,8174
214,5317
215,5514
216,4265
217,3264
218,6293
219,6597
220,5327
221,7265
222,7020
223,5113
224,4459
225,5119
226,6157
227,3996
228,4992
229,5205
230,5380
231,6470
232,5821
233,4766
234,6265
235,3169
236,4388
237,4216
238,4053
239,5296
240,1669
241,4427
242,656
243,6389
244,4223
245,5915
