Id,Predicted
1,1516
2,6183
3,6492
4,6428
5,8297
6,6650
7,9437
8,1650
9,476
10,7487
11,8739
12,1624
13,1071
14,4897
15,5565
16,3574
17,1896
18,9219
19,549
20,1113
21,6191
22,25
23,7647
24,8704
25,821
26,4106
27,7935
28,8739
29,3729
30,2491
31,6898
32,3743
33,3152
34,1463
35,5076
36,151
37,3097
38,1561
39,9218
40,3989
41,4267
42,3833
43,7935
44,2989
45,6156
46,6652
47,1281
48,8064
49,6073
50,8329
51,4106
52,1420
53,3085
54,4185
55,9193
56,4769
57,6455
58,1507
59,5968
60,8872
61,9135
62,6024
63,9051
64,7907
65,4974
66,4575
67,3658
68,5140
69,1509
70,2136
71,7466
72,7419
73,6898
74,5778
75,3761
76,5523
77,6354
78,8130
79,9188
80,1901
81,4925
82,4106
83,4562
84,4267
85,4562
86,1760
87,8930
88,3025
89,5424
90,9048
91,9956
92,4562
93,4974
94,1966
95,4922
96,1769
97,9353
98,5424
99,3220
100,6958
101,7362
102,2470
103,5004
104,5098
105,5523
106,1113
107,450
108,5396
109,7505
110,4562
111,4185
112,6732
113,5588
114,7466
115,1350
116,9605
117,2481
118,8429
119,5424
120,6354
121,1510
122,4562
123,8704
124,4267
125,4562
126,6703
127,5857
128,3912
129,6455
130,325
131,5968
132,6596
133,7466
134,5004
135,5968
136,319
137,6841
138,4795
139,3574
140,8654
141,4027
142,5181
143,6898
144,256
145,5778
146,2203
147,4948
148,1781
149,3601
150,5904
151,7125
152,790
153,4185
154,7482
155,7076
156,325
157,3073
158,4974
159,4335
160,4185
161,5524
162,9065
163,934
164,4267
165,7368
166,8134
167,3128
168,4267
169,4974
170,1510
171,5968
172,2490
173,2341
174,6492
175,1171
176,3989
177,9398
178,4267
179,5517
180,6135
181,5519
182,7036
183,3729
184,4911
185,8897
186,6354
187,4185
188,5238
189,7487
190,4185
191,5140
192,2205
193,6096
194,5238
195,2876
196,5523
197,7362
198,7448
199,1416
200,8931
201,176
202,8839
203,5424
204,9219
205,3768
206,8363
207,1748
208,5523
209,3936
210,3450
211,6898
212,7952
213,8019
214,6898
215,7557
216,933
217,6306
218,7036
219,4335
220,5149
