Id,Predicted
1,6778
2,8119
3,6492
4,8894
5,8297
6,4273
7,1130
8,8646
9,476
10,9390
11,640
12,1624
13,1071
14,4897
15,5565
16,4426
17,4450
18,1698
19,391
20,8058
21,8031
22,25
23,7022
24,8704
25,8250
26,7951
27,1205
28,8739
29,5807
30,2491
31,3167
32,7449
33,3152
34,2274
35,7487
36,151
37,5393
38,1561
39,9218
40,8757
41,73
42,3833
43,7795
44,2989
45,9139
46,5240
47,1281
48,4332
49,9453
50,8329
51,4649
52,1420
53,3085
54,3249
55,9328
56,8327
57,6455
58,7224
59,4974
60,3863
61,9135
62,285
63,1380
64,4789
65,5668
66,4575
67,4986
68,8049
69,1509
70,2136
71,1663
72,3086
73,6898
74,8119
75,652
76,9468
77,7706
78,6451
79,1655
80,5288
81,4925
82,5948
83,8479
84,3738
85,8824
86,1885
87,8930
88,4908
89,4699
90,235
91,9956
92,1029
93,637
94,757
95,1416
96,1769
97,9353
98,5926
99,3220
100,6958
101,7015
102,3837
103,4383
104,6004
105,7679
106,8621
107,450
108,5396
109,7505
110,1491
111,1498
112,5133
113,5588
114,2546
115,5589
116,5110
117,6030
118,8429
119,3468
120,5141
121,1510
122,319
123,8704
124,5684
125,6082
126,3082
127,7609
128,3912
129,2981
130,4472
131,6941
132,802
133,3816
134,3450
135,8271
136,5144
137,9176
138,1207
139,8670
140,8654
141,4027
142,5181
143,8714
144,256
145,1430
146,9351
147,1188
148,4149
149,6511
150,7734
151,7504
152,8285
153,4578
154,8258
155,4258
156,6026
157,3073
158,3066
159,4345
160,4641
161,5524
162,9065
163,934
164,7745
165,198
166,2378
167,3128
168,2167
169,9186
170,8931
171,9588
172,5645
173,1524
174,4911
175,1887
176,3043
177,7281
178,6712
179,7736
180,6135
181,910
182,6882
183,9301
184,7836
185,8897
186,4296
187,2147
188,5646
189,113
190,319
191,9516
192,2205
193,9271
194,2041
195,2876
196,9953
197,1239
198,7448
199,6504
200,8052
201,4947
202,8839
203,4991
204,9623
205,3768
206,7697
207,7734
208,6615
209,6209
210,1613
211,5713
212,7952
213,8019
214,2408
215,7909
216,3940
217,1611
218,1383
219,8936
220,5359
221,6463
222,27
223,13
224,5857
225,5246
226,316
227,1017
228,3081
229,4859
230,7487
231,2875
232,844
233,5777
234,5778
235,1210
236,1518
237,1107
238,7689
239,5683
240,2590
241,3743
242,2688
243,6077
244,6166
245,115
246,8314
247,4234
248,1297
249,7743
250,4516
251,1351
252,8967
253,7746
254,2341
255,6469
256,9513
257,5712
258,7952
259,7907
260,340
261,5497
262,6763
263,6599
264,1993
265,1052
266,1665
267,9920
268,7209
269,1117
270,557
271,6183
272,1257
273,3366
274,8061
275,6022
276,9963
277,5248
278,8773
279,6703
280,8733
281,8089
282,3220
283,1387
284,4974
285,4383
286,4562
287,9248
288,4099
289,3234
290,933
291,1184
292,9775
293,4232
294,7786
295,6455
296,5117
297,6354
298,9421
299,7897
300,2514
301,5121
302,9
303,4228
304,4645
305,7957
306,7763
307,6424
308,5211
309,4948
310,290
311,6006
312,3708
313,889
314,9623
315,1291
316,8529
317,4446
318,5588
319,8381
320,3854
321,4977
322,985
323,3767
324,5807
325,3342
326,5046
327,7573
328,6455
329,3380
330,4427
331,9207
332,8878
333,7254
334,7894
335,6068
336,5968
337,9789
338,7170
339,5197
340,1973
341,2986
342,7755
343,7959
344,3875
345,4429
346,8937
347,130
348,1312
349,7775
350,6636
351,5395
352,5965
353,476
354,2351
355,1758
356,1510
357,2589
358,7120
359,5848
360,9036
361,9849
362,3759
363,1935
364,518
365,3032
366,8012
367,2000
368,9312
369,6156
370,5823
371,5588
372,1414
373,5258
374,9552
375,8176
376,3729
377,3097
378,2536
379,3933
380,1859
381,5412
382,2015
383,1353
384,9873
385,5474
386,1350
387,9969
388,713
389,9362
390,1541
391,2280
392,273
393,5402
394,1090
395,9222
396,4165
397,9259
398,8077
399,7696
400,5461
401,5205
402,2873
403,2585
404,3833
405,1259
406,7320
407,9889
408,69
409,7493
410,9158
411,7362
412,1516
413,2038
414,2463
415,249
416,2393
417,9257
418,7650
419,2593
420,1961
421,9042
422,934
423,9759
424,7254
425,5737
426,3440
427,4716
428,5807
429,8530
430,501
431,792
432,9588
433,1063
434,8271
435,3951
436,3082
437,5747
438,3637
439,5268
440,8666
441,6725
442,182
443,4127
444,1148
445,4182
446,4919
447,6372
448,8671
449,9914
450,3082
451,3439
452,5046
453,4457
454,2197
455,2816
456,9969
457,3940
458,8654
459,4808
460,4314
461,2505
462,8542
463,820
464,4427
465,9545
466,2568
467,4974
468,5388
469,684
470,6424
471,6164
472,1064
473,8865
474,1760
475,7995
476,6802
477,8022
478,4185
479,2670
480,5946
481,1823
482,4960
483,4032
484,5778
485,925
486,4932
487,2760
488,933
489,5818
490,4599
491,7097
492,8591
493,3433
494,3634
495,8741
496,2008
497,1450
498,5748
499,9166
500,4795
501,3436
502,7831
503,3815
504,2376
505,470
506,772
507,5316
508,157
509,6565
510,8283
511,8460
512,7996
513,4038
514,1386
515,218
516,4656
517,139
518,8834
519,9645
520,7821
521,8042
522,5419
523,7525
524,4770
525,10
526,8303
527,1523
528,6113
529,9892
530,6198
531,3370
532,8640
533,6434
534,9398
535,2196
536,4365
537,1509
538,4858
539,4127
540,4858
541,5461
542,1626
543,8983
544,3779
545,9745
546,9638
547,4868
548,4758
549,487
550,4891
551,2164
552,8104
553,578
554,823
555,1650
556,6150
557,6107
558,8624
559,2566
560,2983
561,5247
562,8599
563,3856
564,9516
565,4418
566,4612
567,6898
568,2741
569,6110
570,1353
571,3101
572,6877
573,9516
574,5662
575,6492
576,8642
577,2927
578,4928
579,2686
580,1603
581,9604
582,5919
583,6230
584,6492
585,8432
586,4267
587,7185
588,5569
589,7868
590,4645
591,6700
592,4090
593,2466
594,9574
595,7036
596,6670
597,463
598,4426
599,8124
600,373
601,5814
602,7693
603,9377
604,1731
605,8960
606,4952
607,4639
608,895
609,1504
610,9961
611,6534
612,8106
613,7075
614,7768
615,3151
616,2470
617,6169
618,1975
619,6111
620,3817
621,2303
622,4593
623,4702
624,6133
625,523
626,2839
627,4334
628,9521
629,6638
630,6797
631,1218
632,6306
633,7806
634,4270
635,5238
636,7196
637,4972
638,7482
639,4648
640,1368
641,2447
642,8826
643,8152
644,8872
645,6805
646,5792
647,6068
648,380
649,4562
650,2876
651,4267
652,2579
653,811
654,8486
655,9077
656,6584
657,2460
658,8776
659,8443
660,1183
661,7776
662,8931
663,5558
664,9136
665,4502
666,8857
667,8127
668,1659
669,1317
670,4462
671,168
672,9963
673,887
674,3699
675,7821
676,6268
677,2100
678,9745
679,4758
680,7834
681,1163
682,5424
683,46
684,7620
685,8839
686,8966
687,6318
688,15
689,2666
690,5977
691,5364
692,1981
693,1561
694,319
695,6458
696,8689
697,3743
698,4116
699,1680
700,9119
701,1726
702,7003
703,9301
704,9606
705,7837
706,6632
707,8118
708,17
709,6864
710,1362
711,8079
712,8167
713,4706
714,6759
715,4562
716,2150
717,6755
718,8905
719,7131
720,8425
721,8319
722,9914
723,5632
724,9462
725,3743
726,2481
727,5258
728,960
729,6493
730,5720
731,6183
732,2983
733,8344
734,6626
735,7340
736,2110
737,2675
738,4216
739,4371
740,4380
741,5396
742,8055
743,4924
744,288
745,5633
746,2546
747,2081
748,6028
749,5296
750,6546
751,3559
752,5482
753,7141
754,1234
755,9493
756,4622
757,1001
758,7141
759,8868
760,1972
761,6336
762,2343
763,4575
764,4177
765,3257
766,5828
767,494
768,2927
769,4115
770,8962
771,1001
772,3590
773,9831
774,9269
775,447
776,2107
777,7352
778,9847
779,1561
780,9246
781,2371
782,3413
783,9935
784,2119
785,8492
786,1326
787,9077
788,7393
789,8739
790,7025
791,8802
792,5761
793,4117
794,7670
795,1875
796,480
797,455
798,2823
799,5588
800,8960
801,7033
802,6803
803,5040
804,5519
805,5896
806,9645
807,5271
808,452
809,5141
810,3468
811,5086
812,771
813,1966
814,3002
815,8909
816,7984
817,8916
818,3253
819,811
820,9048
821,1779
822,3294
823,7225
824,4434
825,891
826,4704
827,3409
828,7665
829,6398
830,7211
831,717
832,7076
833,2855
834,788
835,4873
836,9786
837,7200
838,1681
839,2463
840,557
841,6521
842,3061
843,9346
844,1350
845,1287
846,8624
847,3220
848,6800
849,495
850,7003
851,2037
852,7597
853,7496
854,8138
855,3339
856,9823
857,9416
858,5396
859,8704
860,3658
861,1898
862,1443
863,1823
864,4269
865,2021
866,5524
867,1281
868,7610
869,3085
870,8214
871,421
872,1906
873,7003
874,543
875,5495
876,7066
877,2000
878,3250
879,910
880,1668
881,9607
882,1510
883,7876
884,4800
885,2076
886,1970
887,5506
888,8070
889,8595
890,9527
891,7716
892,5381
893,9979
894,6987
895,8086
896,3307
897,934
898,7929
899,9243
900,5063
901,781
902,1931
903,9385
904,9083
905,1531
906,5625
907,7537
908,7936
909,5590
910,5026
911,687
912,6210
913,8557
914,8247
915,6278
916,7775
917,3931
918,7419
919,1340
920,5710
921,1293
922,8314
923,2818
924,8996
925,3469
926,8225
927,8018
928,4855
929,5721
930,6596
931,2416
932,7298
933,802
934,1850
935,6536
936,5695
937,6758
938,4007
939,2203
940,1046
941,4788
942,7633
943,3954
944,7072
945,6311
946,8450
947,6183
948,2712
949,7091
950,9468
951,4861
952,2495
953,2172
954,1534
955,549
956,2733
957,428
958,4836
959,5524
960,2368
961,4043
962,6850
963,7628
964,2000
965,4027
966,6787
967,9144
968,2466
969,8791
970,7245
971,333
972,7028
973,9839
974,7433
975,5157
976,249
977,6548
978,9172
979,8215
980,8193
981,640
982,3861
983,4343
984,7683
985,5135
986,4841
987,613
988,2203
989,2862
990,1518
991,1016
992,9054
993,872
994,4562
995,9246
996,3512
997,6331
998,1707
999,3175
1000,3841
1001,2411
1002,1213
1003,8231
1004,84
1005,69
1006,6135
1007,3147
1008,3658
1009,4426
1010,2714
1011,8499
1012,6650
1013,811
1014,4644
1015,3104
1016,3936
1017,9729
1018,2982
1019,4859
1020,8293
1021,206
1022,8812
1023,2745
1024,5231
1025,1896
1026,1566
1027,2363
1028,1588
1029,1197
1030,7352
1031,8423
1032,6679
1033,910
1034,3815
1035,9740
1036,6358
1037,2248
1038,8813
1039,9287
1040,8403
1041,6103
1042,6089
1043,1259
1044,8319
1045,5843
1046,6143
1047,9890
1048,1523
1049,1426
1050,9543
1051,8529
1052,8643
1053,6129
1054,2558
1055,5527
1056,8383
1057,4569
1058,6804
1059,7722
1060,1463
1061,6128
1062,4212
1063,3071
1064,6654
1065,51
1066,1896
1067,6023
1068,7879
1069,7873
1070,5525
1071,7348
1072,9100
1073,2798
1074,145
1075,155
1076,9324
1077,8331
1078,5641
1079,3989
1080,6143
1081,3468
1082,4693
1083,9418
1084,8952
1085,3128
1086,5555
1087,4267
1088,6458
1089,7647
1090,4267
1091,3752
1092,6972
1093,3254
1094,6256
1095,354
1096,9796
1097,8814
1098,3950
1099,9728
1100,5912
1101,2015
1102,1326
1103,6967
1104,346
1105,9144
1106,3907
1107,4368
1108,7024
1109,348
1110,3743
1111,18
1112,13
1113,3153
1114,4472
1115,6439
1116,2015
1117,6577
1118,7171
1119,65
1120,1476
1121,8471
1122,565
1123,8230
1124,4154
1125,3687
1126,807
1127,7647
1128,5144
1129,4716
1130,5800
1131,9086
1132,9282
1133,8320
1134,3605
1135,4841
1136,8715
1137,2029
1138,3989
1139,1414
1140,9126
1141,1262
1142,1736
1143,9455
1144,7362
1145,9495
1146,4483
1147,3522
1148,2470
1149,2203
1150,9751
1151,3989
1152,3801
1153,4267
1154,558
1155,283
1156,6341
1157,2873
1158,1061
1159,5968
1160,2068
1161,390
1162,4811
1163,9184
1164,5677
1165,852
1166,3115
1167,9136
1168,2333
1169,6135
1170,6156
1171,2678
1172,8562
1173,9250
1174,1718
1175,8032
1176,5765
1177,8014
1178,5247
1179,5393
1180,7467
1181,9184
1182,4836
1183,7305
1184,5527
1185,1954
1186,8941
1187,2363
1188,4667
1189,7362
1190,4044
1191,8654
1192,2046
1193,8473
1194,2224
1195,3583
1196,2700
1197,9601
1198,2727
1199,4584
1200,1356
1201,4679
1202,5752
1203,8092
1204,2499
1205,3472
1206,2256
1207,3201
1208,3244
1209,715
1210,1504
1211,9633
1212,3858
1213,3255
1214,3913
1215,523
1216,4612
1217,4297
1218,374
1219,2156
1220,3057
1221,5495
1222,9108
1223,8538
1224,9160
1225,4921
1226,3701
1227,1209
1228,2888
1229,5519
1230,5141
1231,8272
1232,2876
1233,7551
1234,6318
1235,2355
1236,9588
1237,5882
1238,9853
1239,9851
1240,1811
1241,9322
1242,933
1243,4473
1244,6500
1245,3658
1246,4083
1247,6019
1248,1669
1249,9289
1250,3175
1251,438
1252,7800
1253,8250
1254,4106
1255,5325
1256,4398
1257,6705
1258,6128
1259,1453
1260,4769
1261,5395
1262,3025
1263,7487
1264,7768
1265,8902
1266,2954
1267,3733
1268,2655
1269,1644
1270,3007
1271,4984
1272,6341
1273,4539
1274,3605
1275,9245
1276,4566
1277,3624
1278,8716
1279,4446
1280,112
1281,7059
1282,8720
1283,7225
1284,2945
1285,8591
1286,8576
1287,560
1288,612
1289,2695
1290,4267
1291,8836
1292,8906
1293,2466
1294,3695
1295,8666
1296,8637
1297,3108
1298,8138
1299,4336
1300,1066
1301,5523
1302,7448
1303,503
1304,6739
1305,7466
1306,4246
1307,6815
1308,9457
1309,6454
1310,5860
1311,3612
1312,370
1313,1440
1314,9386
1315,7409
1316,9935
1317,885
1318,1896
1319,7274
1320,5923
1321,6111
1322,3198
1323,3927
1324,8689
1325,4485
1326,9267
1327,4168
1328,8230
1329,9108
1330,4055
1331,7213
1332,8242
1333,9169
1334,5461
1335,6876
1336,4018
1337,7225
1338,1966
1339,5149
1340,3567
1341,331
1342,8136
1343,4971
1344,6547
1345,4695
1346,644
1347,1644
1348,7352
1349,8260
1350,7994
1351,7855
1352,280
1353,8961
1354,2951
1355,2876
1356,5501
1357,9291
1358,5070
1359,7829
1360,7366
1361,1823
1362,1568
1363,1225
1364,1523
1365,9893
1366,6014
1367,2115
1368,2990
1369,1369
1370,2647
1371,687
1372,2902
1373,4106
1374,1883
1375,10
1376,5079
1377,7660
1378,1669
1379,8233
1380,4026
1381,832
1382,6183
1383,1218
1384,6348
1385,3114
1386,6150
1387,9143
1388,1935
1389,5635
1390,3472
1391,6605
1392,6785
1393,2827
1394,3466
1395,1463
1396,5288
1397,887
1398,5823
1399,5965
1400,1982
1401,9865
1402,5140
1403,8683
1404,1606
1405,2355
1406,215
1407,2034
1408,8506
1409,1739
1410,5948
1411,4657
1412,5141
1413,2419
1414,6772
1415,8041
1416,8688
1417,5219
1418,7428
1419,5479
1420,5102
1421,6188
1422,4356
1423,207
1424,4171
1425,5484
1426,4599
1427,9649
1428,8133
1429,2211
1430,7566
1431,4537
1432,1218
1433,8631
1434,5523
1435,6761
1436,9514
1437,3484
1438,2890
1439,2634
1440,173
1441,2016
1442,7125
1443,3602
1444,518
1445,5857
1446,7279
1447,4841
1448,5910
1449,1921
1450,6683
1451,9018
1452,897
1453,1601
1454,7717
1455,543
1456,6253
1457,4059
1458,4651
1459,2695
1460,4911
1461,8170
1462,8130
1463,5396
1464,6898
1465,5177
1466,8786
1467,7114
1468,2793
1469,6009
1470,3167
1471,7017
1472,1473
1473,2363
1474,7736
1475,3601
1476,6911
1477,9445
1478,2876
1479,6058
