Id,Predicted
1,4777
2,5384
3,5062
4,4743
5,9958
6,4799
7,5058
8,13660
9,3216
10,5977
11,4822
12,1112
13,4025
14,4715
15,4437
16,4913
17,280
18,4744
19,4585
20,4205
21,5331
22,3705
23,9128
24,9466
25,8991
26,4606
27,4392
28,8392
29,5209
30,5558
31,-11
32,5412
33,5404
34,5055
35,7599
36,1898
37,5161
38,1867
39,6110
40,7467
41,3814
42,4870
43,12219
44,5586
45,6250
46,5375
47,3593
48,4914
49,5596
50,8867
51,2822
52,3255
53,3620
54,3760
55,5033
56,6965
57,6455
58,5281
59,5525
60,5224
61,3835
62,5845
63,4695
64,5134
65,4571
66,3398
67,4684
68,5311
69,2008
70,-636
71,4812
72,4521
73,6438
74,5033
75,5143
76,9990
77,4553
78,4200
79,10453
80,5939
81,2900
82,4680
83,5066
84,5073
85,4689
86,6676
87,9021
88,5642
89,5521
90,3840
91,7697
92,5787
93,6066
94,-318
95,3833
96,3186
97,9420
98,3732
99,6555
100,5404
101,2760
102,5311
103,4670
104,6370
105,7015
106,2588
107,-903
108,4772
109,5160
110,5107
111,4246
112,4945
113,6632
114,3792
115,5284
116,4403
117,7517
118,6535
119,5042
120,5544
121,4927
122,6631
123,8447
124,6365
125,6459
126,4570
127,5884
128,4388
129,2803
130,5621
131,2423
132,6338
133,3670
134,5784
135,5491
136,4825
137,5433
138,5282
139,2889
140,6802
141,4027
142,5097
143,5429
144,6726
145,5486
146,10663
147,6677
148,4080
149,4870
150,4430
151,5076
152,4671
153,6959
154,5183
155,6077
156,5126
157,5447
158,3395
159,3226
160,4278
161,5160
162,8391
163,4468
164,5691
165,5117
166,4990
167,4896
168,4368
169,5896
170,4961
171,4987
172,4905
173,5587
174,4771
175,5165
176,5114
177,5398
178,5546
179,4450
180,5341
181,4516
182,5004
183,6110
184,5408
185,4389
186,4103
187,3884
188,4897
189,5229
190,5747
191,5329
192,4148
193,5278
194,4828
195,-4910
196,5797
197,3766
198,5744
199,5014
200,5201
201,3568
202,10017
203,5046
204,8197
205,3767
206,4963
207,5054
208,3774
209,10928
210,4246
211,4189
212,4661
213,8531
214,5384
215,5440
216,4153
217,3187
218,6316
219,5869
220,5076
221,6566
222,7483
223,5038
224,4537
225,5062
226,6405
227,3523
228,5016
229,5808
230,5231
231,6804
232,5534
233,4927
234,6030
235,3660
236,4462
237,4278
238,4304
239,5352
240,2556
241,3981
242,-805
243,6647
244,4054
245,6084
246,3948
247,3486
248,3476
249,8117
250,-5904
251,4873
252,9920
253,4634
254,2117
255,5496
256,6566
257,4889
258,6510
259,4608
260,2841
261,8667
262,3919
263,4352
264,5039
265,4975
266,6189
267,6536
268,5625
269,5634
270,5314
271,6183
272,4242
273,4854
274,9753
275,6694
276,5025
277,3145
278,5746
279,5311
280,5650
281,5202
282,4994
283,5935
284,5078
285,6666
286,5688
287,6054
288,5375
289,5028
290,2839
291,846
292,3585
293,5522
294,5412
295,3557
296,4948
297,5053
298,6343
299,5292
300,4974
301,5270
302,5041
303,5110
304,6426
305,8975
306,4976
307,5344
308,5371
309,4918
310,685
311,6165
312,3693
313,5012
314,5870
315,4337
316,5828
317,4838
318,5643
319,9074
320,5050
321,5936
322,368
323,4368
324,5213
325,4639
326,5435
327,4562
328,6767
329,4694
330,4744
331,4952
332,6120
333,6417
334,4745
335,4661
336,5864
337,4747
338,4873
339,4808
340,5903
341,4704
342,8601
343,5888
344,4992
345,4767
346,5583
347,539
348,4941
349,4635
350,5016
351,7212
352,5474
353,2532
354,2923
355,-1957
356,6055
357,5226
358,961
359,5394
360,5609
361,4889
362,5172
363,4683
364,6336
365,4668
366,5726
367,-1544
368,5651
369,5145
370,4656
371,4244
372,3367
373,6298
374,5641
375,4360
376,4526
377,4292
378,4616
379,5099
380,4796
381,5278
382,5353
383,5165
384,6436
385,5136
386,4780
387,5203
388,3993
389,6189
390,5188
391,4744
392,5092
393,4379
394,-1885
395,6081
396,6480
397,6103
398,4088
399,4851
400,5023
401,4449
402,2771
403,6001
404,2647
405,5001
406,2683
407,10382
408,1967
409,4817
410,3385
411,1086
412,4787
413,6384
414,9123
415,3517
416,-617
417,4611
418,3931
419,2578
420,2382
421,5430
422,2498
423,5141
424,6385
425,6426
426,5588
427,5456
428,4456
429,5661
430,5464
431,6555
432,4987
433,4133
434,4145
435,3759
436,5547
437,4440
438,3655
439,5497
440,8347
441,6648
442,4158
443,4835
444,2044
445,4985
446,4695
447,5836
448,9653
449,5294
450,5388
451,4594
452,5093
453,4134
454,2509
455,3537
456,5268
457,2727
458,5654
459,6011
460,4091
461,4520
462,4946
463,5089
464,4744
465,4771
466,4966
467,5526
468,6100
469,2251
470,5386
471,5740
472,-851
473,8790
474,4067
475,7490
476,4960
477,5985
478,3691
479,4590
480,6120
481,1061
482,5793
483,4567
484,4886
485,6225
486,4681
487,5407
488,221
489,5714
490,5628
491,3067
492,5736
493,2958
494,3906
495,4531
496,3481
497,4884
498,4536
499,8736
500,5329
501,3724
502,9142
503,4970
504,5524
505,4978
506,3887
507,5742
508,7301
509,5155
510,4410
511,5015
512,5934
513,3257
514,1115
515,4818
516,4823
517,4295
518,5817
519,5766
520,4621
521,4587
522,7231
523,6036
524,4577
525,5318
526,4866
527,4615
528,6112
529,5068
530,5470
531,5752
532,4489
533,5454
534,5059
535,2385
536,5279
537,-529
538,5057
539,5663
540,5652
541,3141
542,5173
543,5096
544,3575
545,9744
546,4830
547,3207
548,5105
549,5397
550,5207
551,4894
552,11410
553,5239
554,2653
555,3131
556,8486
557,6327
558,4986
